HHID,fetch_water_ga,Year,Dry_Ln_2012_2002_10,Demo_group_Detail,IHS_Distance_Water,Ln_2012_2002_Categ,fetch_water
1033000304,0,2011,0,7,0.88137358,4,39
1033000304,15,2011,0,2,0.88137358,4,39
1033000304,0,2011,0,1,0.88137358,4,39
1033000304,10,2011,0,3,0.88137358,4,39
1033000304,14,2011,0,4,0.88137358,4,39
1033000307,0,2009,1,6,0.56882495,1,9
1033000307,3,2009,1,1,0.56882495,1,9
1033000307,3,2009,1,5,0.56882495,1,9
1033000307,0,2009,1,4,0.56882495,1,9
1033000307,3,2009,1,3,0.56882495,1,9
1033000307,2,2010,0,1,0,4,6
1033000307,0,2010,0,5,0,4,6
1033000307,1,2010,0,1,0,4,6
1033000307,2,2010,0,6,0,4,6
1033000307,1,2010,0,2,0,4,6
1033000307,2,2011,0,1,0,4,5
1033000307,0,2011,0,5,0,4,5
1033000307,1,2011,0,2,0,4,5
1033000307,2,2011,0,1,0,4,5
1033000307,0,2011,0,6,0,4,5
1033000308,0,2009,0,6,0.48121181,2,0
1033000308,0,2009,0,4,0.48121181,2,0
1033000308,0,2009,0,5,0.48121181,2,0
1033000308,0,2010,0,6,0,3,2
1033000308,2,2010,0,6,0,3,2
1033000308,2,2011,0,5,0,5,5
1033000308,3,2011,0,6,0,5,5
1033000310,7,2009,1,3,0.88137358,1,42
1033000310,7,2009,1,4,0.88137358,1,42
1033000310,0,2009,1,5,0.88137358,1,42
1033000310,7,2009,1,3,0.88137358,1,42
1033000310,7,2009,1,6,0.88137358,1,42
1033000310,7,2009,1,4,0.88137358,1,42
1033000310,7,2009,1,1,0.88137358,1,42
1033000310,4,2010,0,6,1.4436355,4,30
1033000310,0,2010,0,5,1.4436355,4,30
1033000310,6,2010,0,2,1.4436355,4,30
1033000310,6,2010,0,3,1.4436355,4,30
1033000310,6,2010,0,3,1.4436355,4,30
1033000310,8,2010,0,3,1.4436355,4,30
1033000310,4,2011,0,3,0.88137358,4,28
1033000310,4,2011,0,3,0.88137358,4,28
1033000310,4,2011,0,3,0.88137358,4,28
1033000310,3,2011,0,6,0.88137358,4,28
1033000310,3,2011,0,5,0.88137358,4,28
1033000310,3,2011,0,4,0.88137358,4,28
1033000310,4,2011,0,3,0.88137358,4,28
1033000310,3,2011,0,2,0.88137358,4,28
1033000504,2,2009,1,7,0.24746646,1,3
1033000504,1,2009,1,5,0.24746646,1,3
1033000504,0,2010,0,5,0,3,3
1033000504,3,2010,0,7,0,3,3
1033000504,2,2011,0,5,0,4,7
1033000504,5,2011,0,7,0,4,7
1033000505,0,2009,1,6,1.8798636,1,8
1033000505,4,2009,1,1,1.8798636,1,8
1033000505,0,2009,1,6,1.8798636,1,8
1033000505,0,2009,1,7,1.8798636,1,8
1033000505,2,2009,1,5,1.8798636,1,8
1033000505,2,2009,1,4,1.8798636,1,8
1033000505,3,2010,0,4,1.4436355,3,12
1033000505,7,2010,0,5,1.4436355,3,12
1033000505,0,2010,0,7,1.4436355,3,12
1033000505,0,2010,0,6,1.4436355,3,12
1033000505,2,2010,0,2,1.4436355,3,12
1033000505,0,2010,0,6,1.4436355,3,12
1033000505,6,2011,0,2,2.0947125,4,10
1033000505,4,2011,0,6,2.0947125,4,10
1033000505,0,2011,0,5,2.0947125,4,10
1033000505,0,2011,0,6,2.0947125,4,10
1033000505,0,2011,0,7,2.0947125,4,10
1033000506,7,2009,1,1,1.9928358,1,7
1033000506,0,2009,1,3,1.9928358,1,7
